"filename", "language", "Ignore", "JSON", "Properties", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "XML", "TypeScript JSX", "CSS", "HTML", "Docker", "comment", "blank", "total"
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\table-form\TableColumn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\table-form\TableForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 17, 107
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\table-form\TableRows.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 21, 40, 353
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\table-form\css\TableForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\configurations\pages\virtual-channels\components\table-form\modifyFormValues.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 8, 43
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\DataHistoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\graph-view\GraphView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 15, 77
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\graph-view\ParameterGraph.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 4, 14, 84
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\sidebar-menu\SidebarMenu.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\sidebar-menu\SidebarMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 26, 134
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\sidebar-menu\components\AnalyzerPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 9, 51
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\sidebar-menu\components\DatePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 11, 45
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\sidebar-menu\components\TimebasePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 12, 44
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\sidebar-menu\components\VirtualChannelPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 8, 9, 44
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\table-view\TableView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 20, 107
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-history\components\table-view\table\ParametersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 3, 14, 116
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-monitoring\DataMonitoringPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 13, 62
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-monitoring\components\sidebar\links-group\NavbarLinksGroup.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-monitoring\components\sidebar\links-group\NavbarLinksGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 6, 65
